taxon_id,totalproteins,totalec,proteinsbinding,ecbinding,Phylum
547043,1417,942,717,345,Actinomycetota
552531,1150,786,630,353,Actinomycetota
553171,1240,921,377,226,Bacteroidota
553184,1104,690,242,155,Actinomycetota
553973,2882,1835,1200,484,firmicutes
556268,1596,1069,131,79,Pseudomonadota
561177,1403,933,587,286,firmicutes
561180,1144,802,523,284,Actinomycetota
563008,1411,1066,395,229,Bacteroidota
563192,2579,1612,1803,639,Thermodesulfobacteriota
565575,430,282,38,21,Mycoplasmatota
565653,2386,1609,867,388,firmicutes
568703,4175,1349,2429,523,firmicutes
572263,439,292,107,58,Mycoplasmatota
572544,1446,1109,701,400,Fusobacteriota
572547,1453,1000,573,327,Synergistota
573061,2933,1988,761,360,firmicutes
574087,1782,1234,978,452,firmicutes
575589,2168,1499,151,91,Pseudomonadota
575594,1287,809,464,235,firmicutes
575611,1533,1131,486,293,Bacteroidota
577650,2306,1609,802,408,Thermodesulfobacteriota
585503,1534,1022,637,353,firmicutes
585506,1478,957,173,105,firmicutes
585524,1209,788,411,220,firmicutes
585531,2079,1540,1236,600,Actinomycetota
591001,1602,1007,742,407,firmicutes
591159,4706,3419,2,0,Actinomycetota
592028,1297,796,367,199,firmicutes
592031,744,494,242,150,firmicutes
596151,2764,1802,1928,675,Thermodesulfobacteriota
596315,1325,835,292,166,firmicutes
596319,1896,1336,360,224,firmicutes
596323,1647,1130,547,261,Fusobacteriota
596329,1426,949,662,328,firmicutes
596330,1213,773,525,268,firmicutes
622312,2482,1626,878,389,firmicutes
626418,3974,2746,207,115,Pseudomonadota
632245,3074,2089,2079,744,firmicutes
633697,1928,1307,597,297,firmicutes
634452,1909,1267,448,281,Pseudomonadota
634994,1612,1188,477,226,Fusobacteriota
637910,4021,2584,1883,931,Pseudomonadota
638302,1601,1072,650,351,firmicutes
641112,2346,1545,1006,387,firmicutes
642492,2691,1860,95,43,firmicutes
643562,2246,1466,1405,568,Thermodesulfobacteriota
643648,1659,1143,621,309,firmicutes
644282,2249,1526,377,160,Thermodesulfobacteriota
645991,2229,1476,819,393,firmicutes
649761,1345,992,370,209,Bacteroidota
650150,1268,829,184,105,firmicutes
652103,3529,2339,345,182,Pseudomonadota
655813,2785,998,1034,323,firmicutes
657318,1797,1227,1029,492,firmicutes
657319,1392,923,494,264,firmicutes
657321,1182,819,627,334,firmicutes
663952,1592,1065,606,353,firmicutes
665571,1603,1071,34,23,Spirochaetota
667015,1787,1447,378,238,Bacteroidota
679189,1267,921,363,217,Bacteroidota
679190,1392,998,399,228,Bacteroidota
679191,1173,888,350,210,Bacteroidota
688245,3706,2320,1112,521,Pseudomonadota
693979,1907,1474,436,262,Bacteroidota
694569,1824,1176,183,137,Pseudomonadota
696369,2089,1445,711,330,firmicutes
698737,1985,1411,222,142,firmicutes
698964,1667,1089,619,363,Actinomycetota
706434,1311,862,587,325,firmicutes
708616,482,331,64,48,Mycoplasmatota
709991,1982,1435,920,469,Bacteroidota
712938,955,622,402,228,firmicutes
713605,955,636,322,183,firmicutes
716541,4153,2732,698,398,Pseudomonadota
717959,1332,1036,242,149,Bacteroidota
717962,1944,1304,590,313,firmicutes
718255,2155,1443,913,417,firmicutes
742159,4456,2834,1788,636,Pseudomonadota
742740,3291,2031,1105,448,firmicutes
747682,541,367,123,74,Mycoplasmatota
748671,1519,954,364,195,firmicutes
748727,3053,2011,805,376,firmicutes
752555,1661,1248,487,277,Bacteroidota
759362,1975,1294,26,11,Pseudomonadota
762051,1507,1068,169,99,firmicutes
762376,5047,3261,879,380,Pseudomonadota
859194,260,357,47,28,Mycoplasmatota
862514,1496,957,336,154,firmicutes
862515,1233,906,362,219,Bacteroidota
862965,1675,1092,443,283,Pseudomonadota
866771,1318,982,383,217,Bacteroidota
866776,1413,961,466,275,firmicutes
871585,2723,1845,197,112,Pseudomonadota
873533,1405,1066,429,256,Bacteroidota
879243,1162,812,125,102,Bacteroidota
888048,1563,1137,733,398,firmicutes
888064,1869,1281,612,341,firmicutes
888743,1303,1003,391,227,Bacteroidota
888746,1354,945,566,326,firmicutes
888832,1411,1126,408,247,Bacteroidota
889201,2945,1073,1011,293,firmicutes
891391,1468,963,513,265,firmicutes
903814,2728,1809,751,347,firmicutes
904293,1576,1074,606,341,firmicutes
908338,1320,870,469,249,firmicutes
910313,1633,1122,643,334,firmicutes
944562,1623,1022,534,291,firmicutes
984892,1889,1325,211,134,firmicutes
1000570,1484,1026,616,341,firmicutes
1005705,1393,975,600,344,firmicutes
1040964,1550,1010,511,277,firmicutes
1046629,1528,1060,1030,491,firmicutes
1069533,1453,987,470,278,firmicutes
1114970,4666,2994,553,283,Pseudomonadota
1129369,446,310,70,46,Mycoplasmatota
