CIDs,H_bond_donor,H_bond_acceptor,MWt,LogP,Metabolic_activity,QED
CIDs00441036,5,6,180.156,-3.219799999999999,consumption,0.2901781933520807
CIDs00445639,1,1,282.4679999999999,6.108500000000008,consumption,0.2905169417988814
CIDs00493570,5,9,376.369,-1.7235599999999995,both,0.3284121594560428
CIDs00643757,3,3,174.10799999999998,-0.4433000000000001,consumption,0.4976684796992808
CIDs02723872,5,6,180.156,-3.219799999999999,consumption,0.2901781933520807
CIDs00024310,5,6,180.156,-3.219799999999999,consumption,0.2901781933520807
CIDs02733768,4,5,499.7140000000003,3.3973000000000018,consumption,0.398161662848806
CIDs03035026,4,4,449.6320000000003,3.594100000000002,consumption,0.4957056864347
CIDs03085666,5,7,195.147,-4.827799999999997,consumption,0.295982465098165
CIDs05280450,1,1,280.45199999999994,5.8845000000000045,both,0.3182616134760953
CIDs05460048,0,6,176.12399999999997,-1.126,consumption,0.3438078462785265
CIDs05460935,8,11,342.297,-5.552999999999996,consumption,0.2092046986305504
CIDs10887848,0,1,106.12399999999997,1.4991,consumption,0.4956362681365689
CIDs10975657,4,5,150.13,-2.5823,consumption,0.3042503204978373
CIDs16211032,8,11,342.297,-5.397199999999993,consumption,0.2432584676077655
CIDs53638645,4,7,216.121,-7.459799999999998,consumption,0.320093633137699
CIDs54499400,3,3,244.316,0.7968,both,0.4934781151921962
CIDs54690394,4,6,176.12400000000005,-1.4073999999999995,production,0.3850054008235984
